Fecha,Valor
2019-01-02,"33,129"
2019-01-03,"33,298"
2019-01-04,"33,577"
2019-01-07,"33,619"
2019-01-08,"33,690"
2019-01-09,"33,714"
2019-01-10,"33,731"
2019-01-11,"33,539"
2019-01-14,"33,585"
2019-01-15,"33,632"
2019-01-16,"33,581"
2019-01-17,"33,547"
2019-01-18,"33,500"
2019-01-21,"33,490"
2019-01-22,"33,456"
2019-01-23,"33,105"
2019-01-24,"32,776"
2019-01-25,"32,732"
2019-01-28,"32,783"
2019-01-29,"32,793"
2019-01-30,"32,807"
2019-01-31,"32,870"
2019-02-01,"32,871"
2019-02-04,"32,876"
2019-02-05,"32,907"
2019-02-06,"32,934"
2019-02-07,"33,077"
2019-02-08,"33,263"
2019-02-11,"33,174"
2019-02-12,"33,195"
2019-02-13,"33,193"
2019-02-14,"33,202"
2019-02-15,"32,926"
2019-02-18,"32,867"
2019-02-19,"32,937"
2019-02-20,"33,004"
2019-02-21,"33,067"
2019-02-22,"33,196"
2019-02-25,"33,044"
2019-02-26,"33,019"
2019-02-27,"32,994"
2019-02-28,"33,020"
2019-03-01,"33,050"
2019-03-06,"33,067"
2019-03-07,"33,051"
2019-03-08,"33,083"
2019-03-11,"33,071"
2019-03-12,"33,038"
2019-03-13,"33,132"
2019-03-14,"33,115"
2019-03-15,"35,183"
2019-03-18,"35,233"
2019-03-19,"35,187"
2019-03-20,"35,181"
2019-03-21,"35,071"
2019-03-22,"35,006"
2019-03-25,"35,004"
2019-03-26,"34,940"
2019-03-27,"35,114"
2019-03-28,"34,681"
2019-03-29,"34,933"
2019-04-01,"35,080"
2019-04-03,"34,968"
2019-04-04,"34,895"
2019-04-05,"34,848"
2019-04-08,"34,865"
2019-04-09,"34,817"
2019-04-10,"34,870"
2019-04-11,"34,801"
2019-04-12,"34,880"
2019-04-15,"34,802"
2019-04-16,"34,781"
2019-04-17,"34,663"
2019-04-22,"34,816"
2019-04-23,"34,856"
2019-04-24,"34,742"
2019-04-25,"34,531"
2019-04-26,"34,478"
2019-04-29,"34,381"
2019-04-30,"34,462"
2019-05-02,"34,445"
2019-05-03,"34,445"
2019-05-06,"34,413"
2019-05-07,"35,233"
2019-05-08,"35,357"
2019-05-09,"35,323"
2019-05-10,"35,223"
2019-05-13,"35,127"
2019-05-14,"35,017"
2019-05-15,"34,957"
2019-05-16,"34,910"
2019-05-17,"34,933"
2019-05-20,"34,990"
2019-05-21,"35,047"
2019-05-22,"34,927"
2019-05-23,"34,989"
2019-05-24,"35,025"
2019-05-27,"35,109"
2019-05-28,"35,188"
2019-05-29,"35,338"
2019-05-30,"35,279"
2019-05-31,"35,324"
2019-06-03,"35,384"
2019-06-04,"35,376"
2019-06-05,"35,387"
2019-06-06,"35,302"
2019-06-07,"35,343"
2019-06-10,"35,458"
2019-06-11,"35,396"
2019-06-12,"35,423"
2019-06-13,"34,710"
2019-06-14,"34,094"
2019-06-18,"34,070"
2019-06-19,"34,045"
2019-06-21,"34,112"
2019-06-24,"34,140"
2019-06-25,"34,186"
2019-06-26,"34,674"
2019-06-27,"34,606"
2019-06-28,"34,174"
2019-07-01,"34,613"
2019-07-02,"34,596"
2019-07-03,"33,759"
2019-07-04,"33,811"
2019-07-05,"33,789"
2019-07-10,"33,864"
2019-07-11,"33,799"
2019-07-12,"33,843"
2019-07-15,"33,810"
2019-07-16,"34,105"
2019-07-17,"34,447"
2019-07-18,"34,452"
2019-07-19,"34,692"
2019-07-22,"34,776"
2019-07-23,"34,762"
2019-07-24,"34,811"
2019-07-25,"34,953"
2019-07-26,"35,079"
2019-07-29,"35,054"
2019-07-30,"35,101"
2019-07-31,"35,089"
2019-08-01,"35,200"
2019-08-02,"35,114"
2019-08-05,"35,162"
2019-08-06,"35,220"
2019-08-07,"35,202"
2019-08-08,"35,171"
2019-08-09,"35,235"
2019-08-12,"34,975"
2019-08-13,"34,434"
2019-08-14,"33,963"
2019-08-15,"33,577"
2019-08-16,"33,204"
2019-08-20,"32,737"
2019-08-21,"32,423"
2019-08-22,"32,156"
2019-08-23,"31,954"
2019-08-26,"31,779"
2019-08-27,"31,651"
2019-08-28,"31,236"
2019-08-29,"30,413"
2019-08-30,"29,488"
2019-09-02,"28,505"
2019-09-03,"27,783"
2019-09-04,"27,006"
2019-09-05,"26,411"
2019-09-06,"26,031"
2019-09-09,"25,755"
2019-09-10,"25,587"
2019-09-11,"25,357"
2019-09-12,"25,196"
2019-09-13,"24,989"
2019-09-16,"24,848"
2019-09-17,"24,742"
2019-09-18,"24,635"
2019-09-19,"24,308"
2019-09-20,"24,131"
2019-09-23,"24,060"
2019-09-24,"23,903"
2019-09-25,"23,730"
2019-09-26,"23,632"
2019-09-27,"23,824"
2019-09-30,"23,807"
2019-10-01,"23,801"
2019-10-02,"23,719"
2019-10-03,"23,660"
2019-10-04,"23,583"
2019-10-07,"23,485"
2019-10-08,"23,370"
2019-10-09,"23,321"
2019-10-10,"23,208"
2019-10-11,"23,432"
2019-10-15,"23,427"
2019-10-16,"23,336"
2019-10-17,"23,387"
2019-10-18,"23,317"
